DIA_SEMANA_t-7,LABORAL_t-7,FIN_DE_SEMANA_t-7,FESTIVO_t-7,PORCENTAJE.USO_t-7,NUMERO.CONEXIONES_t-7,USAGE.KB_t-7,DIA_SEMANA_t-6,LABORAL_t-6,FIN_DE_SEMANA_t-6,FESTIVO_t-6,PORCENTAJE.USO_t-6,NUMERO.CONEXIONES_t-6,USAGE.KB_t-6,DIA_SEMANA_t-5,LABORAL_t-5,FIN_DE_SEMANA_t-5,FESTIVO_t-5,PORCENTAJE.USO_t-5,NUMERO.CONEXIONES_t-5,USAGE.KB_t-5,DIA_SEMANA_t-4,LABORAL_t-4,FIN_DE_SEMANA_t-4,FESTIVO_t-4,PORCENTAJE.USO_t-4,NUMERO.CONEXIONES_t-4,USAGE.KB_t-4,DIA_SEMANA_t-3,LABORAL_t-3,FIN_DE_SEMANA_t-3,FESTIVO_t-3,PORCENTAJE.USO_t-3,NUMERO.CONEXIONES_t-3,USAGE.KB_t-3,DIA_SEMANA_t-2,LABORAL_t-2,FIN_DE_SEMANA_t-2,FESTIVO_t-2,PORCENTAJE.USO_t-2,NUMERO.CONEXIONES_t-2,USAGE.KB_t-2,DIA_SEMANA_t-1,LABORAL_t-1,FIN_DE_SEMANA_t-1,FESTIVO_t-1,PORCENTAJE.USO_t-1,NUMERO.CONEXIONES_t-1,USAGE.KB_t-1,DIA_SEMANA_t0,LABORAL_t0,FIN_DE_SEMANA_t0,FESTIVO_t0,PORCENTAJE.USO_t0,NUMERO.CONEXIONES_t0,target
0,0,0,1,"0,4",-0.875,-0.1911186715613115,1,1,0,0,"1,1",-0.9375,-0.1839865420842793,2,1,0,0,"1,8",-0.75,-0.1696751285551602,3,1,0,0,"0,9",-1.0,-0.1832143859177577,4,1,0,0,"0,9",-0.375,-0.1834100774042349,5,0,1,0,"0,8",0.4375,-0.1880182582514612,6,0,1,0,"0,5",-0.5,-0.1887892355536065,0,0,0,1,"0,2",-0.125,-0.1917811933408309
1,1,0,0,"1,1",-0.9375,-0.1839865420842793,2,1,0,0,"1,8",-0.75,-0.1696751285551602,3,1,0,0,"0,9",-1.0,-0.1832143859177577,4,1,0,0,"0,9",-0.375,-0.1834100774042349,5,0,1,0,"0,8",0.4375,-0.1880182582514612,6,0,1,0,"0,5",-0.5,-0.1887892355536065,0,0,0,1,"0,2",-0.125,-0.1917811933408309,1,1,0,0,"0,4",-1.125,-0.1890745207326878
2,1,0,0,"1,8",-0.75,-0.1696751285551602,3,1,0,0,"0,9",-1.0,-0.1832143859177577,4,1,0,0,"0,9",-0.375,-0.1834100774042349,5,0,1,0,"0,8",0.4375,-0.1880182582514612,6,0,1,0,"0,5",-0.5,-0.1887892355536065,0,0,0,1,"0,2",-0.125,-0.1917811933408309,1,1,0,0,"0,4",-1.125,-0.1890745207326878,2,1,0,0,"0,4",-0.375,-0.1892407406097558
3,1,0,0,"0,9",-1.0,-0.1832143859177577,4,1,0,0,"0,9",-0.375,-0.1834100774042349,5,0,1,0,"0,8",0.4375,-0.1880182582514612,6,0,1,0,"0,5",-0.5,-0.1887892355536065,0,0,0,1,"0,2",-0.125,-0.1917811933408309,1,1,0,0,"0,4",-1.125,-0.1890745207326878,2,1,0,0,"0,4",-0.375,-0.1892407406097558,3,1,0,0,"0,7",-0.5,-0.1855426430610864
4,1,0,0,"0,9",-0.375,-0.1834100774042349,5,0,1,0,"0,8",0.4375,-0.1880182582514612,6,0,1,0,"0,5",-0.5,-0.1887892355536065,0,0,0,1,"0,2",-0.125,-0.1917811933408309,1,1,0,0,"0,4",-1.125,-0.1890745207326878,2,1,0,0,"0,4",-0.375,-0.1892407406097558,3,1,0,0,"0,7",-0.5,-0.1855426430610864,4,1,0,0,"0,8",-0.1875,-0.1834030042179767
5,0,1,0,"0,8",0.4375,-0.1880182582514612,6,0,1,0,"0,5",-0.5,-0.1887892355536065,0,0,0,1,"0,2",-0.125,-0.1917811933408309,1,1,0,0,"0,4",-1.125,-0.1890745207326878,2,1,0,0,"0,4",-0.375,-0.1892407406097558,3,1,0,0,"0,7",-0.5,-0.1855426430610864,4,1,0,0,"0,8",-0.1875,-0.1834030042179767,5,0,1,0,"0,5",-0.9375,-0.1897806604941327
6,0,1,0,"0,5",-0.5,-0.1887892355536065,0,0,0,1,"0,2",-0.125,-0.1917811933408309,1,1,0,0,"0,4",-1.125,-0.1890745207326878,2,1,0,0,"0,4",-0.375,-0.1892407406097558,3,1,0,0,"0,7",-0.5,-0.1855426430610864,4,1,0,0,"0,8",-0.1875,-0.1834030042179767,5,0,1,0,"0,5",-0.9375,-0.1897806604941327,6,0,1,0,"0,4",-1.0,-0.1910432242412239
0,0,0,1,"0,2",-0.125,-0.1917811933408309,1,1,0,0,"0,4",-1.125,-0.1890745207326878,2,1,0,0,"0,4",-0.375,-0.1892407406097558,3,1,0,0,"0,7",-0.5,-0.1855426430610864,4,1,0,0,"0,8",-0.1875,-0.1834030042179767,5,0,1,0,"0,5",-0.9375,-0.1897806604941327,6,0,1,0,"0,4",-1.0,-0.1910432242412239,0,1,0,0,"0,8",-0.5,-0.1879946809639338
1,1,0,0,"0,4",-1.125,-0.1890745207326878,2,1,0,0,"0,4",-0.375,-0.1892407406097558,3,1,0,0,"0,7",-0.5,-0.1855426430610864,4,1,0,0,"0,8",-0.1875,-0.1834030042179767,5,0,1,0,"0,5",-0.9375,-0.1897806604941327,6,0,1,0,"0,4",-1.0,-0.1910432242412239,0,1,0,0,"0,8",-0.5,-0.1879946809639338,1,1,0,0,"11,2",-0.5,-0.0823295303168551
2,1,0,0,"0,4",-0.375,-0.1892407406097558,3,1,0,0,"0,7",-0.5,-0.1855426430610864,4,1,0,0,"0,8",-0.1875,-0.1834030042179767,5,0,1,0,"0,5",-0.9375,-0.1897806604941327,6,0,1,0,"0,4",-1.0,-0.1910432242412239,0,1,0,0,"0,8",-0.5,-0.1879946809639338,1,1,0,0,"11,2",-0.5,-0.0823295303168551,2,1,0,0,"1,3",0.5,-0.1794042962533332
