FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-06-22,5,0,1,0,205,131,1791964
2024-06-23,6,0,1,0,24,128,202038
2024-06-24,0,1,0,0,721.3,113,8741023
2024-06-25,1,1,0,0,605.7,97,6399371
2024-06-26,2,1,0,0,301.3,103,3266920
2024-06-27,3,1,0,0,231.6,158,1776552
2024-06-28,4,1,0,0,2.5,108,25063
2024-06-29,5,0,1,0,1.9,100,29271
2024-06-30,6,0,1,0,1.6,170,20505
2024-07-01,0,0,0,1,569.3,153,6868181
2024-07-02,1,1,0,0,561.5,127,6041595
2024-07-03,2,1,0,0,406.3,131,4718819
2024-07-04,3,1,0,0,692.8,116,6237261
2024-07-05,4,1,0,0,259.5,133,2053361
2024-07-06,5,0,1,0,2.2,135,15545
2024-07-07,6,0,1,0,842,140,7202093
2024-07-08,0,1,0,0,1043.4,128,10435419
2024-07-09,1,1,0,0,348.4,157,4179734
2024-07-10,2,1,0,0,287,132,4405577
2024-07-11,3,1,0,0,534.7,140,6923802
2024-07-12,4,1,0,0,684.4,123,8860849
2024-07-13,5,0,1,0,280.9,166,2945786
2024-07-14,6,0,1,0,292.2,129,3155868
2024-07-15,0,1,0,0,548.3,133,6857149
2024-07-16,1,1,0,0,172.4,127,2576728
2024-07-17,2,1,0,0,25.4,145,349959
2024-07-18,3,1,0,0,690.4,131,8569222
2024-07-19,4,1,0,0,735.3,122,7558478
2024-07-20,5,0,0,1,569.8,161,6631707
2024-07-21,6,0,1,0,802.8,177,7266256
2024-07-22,0,1,0,0,687.6,130,7181883
2024-07-23,1,1,0,0,898.1,222,12492872
2024-07-24,2,1,0,0,392.1,131,3745540
2024-07-25,3,1,0,0,481,157,8534076
2024-07-26,4,1,0,0,546.2,124,8734896
2024-07-27,5,0,1,0,355,143,5343957
2024-07-28,6,0,1,0,635.2,144,9491794
2024-07-29,0,1,0,0,121.4,161,2004212
2024-07-30,1,1,0,0,351.7,169,4779177
2024-07-31,2,1,0,0,87.8,186,1056536
2024-08-01,3,1,0,0,205.5,177,3282005
2024-08-02,4,1,0,0,296.9,128,3989796
2024-08-03,5,0,1,0,587.9,153,6087215
2024-08-04,6,0,1,0,48.8,195,422667
2024-08-05,0,1,0,0,42.3,168,319640
2024-08-06,1,1,0,0,104.6,167,1221189
2024-08-07,2,0,0,1,41.6,180,438503
2024-08-08,3,1,0,0,28.7,205,303207
2024-08-09,4,1,0,0,2.9,153,36958
2024-08-10,5,0,1,0,123.9,146,1815346
2024-08-11,6,0,1,0,431.1,135,5264471
2024-08-12,0,1,0,0,610.2,148,7040293
2024-08-13,1,1,0,0,138.7,124,2123103
2024-08-14,2,1,0,0,286.9,164,4081122
2024-08-15,3,1,0,0,944,167,11855865
2024-08-16,4,1,0,0,1001,148,17581395
2024-08-17,5,0,1,0,831.3,168,9254210
2024-08-18,6,0,1,0,79.3,184,921657
2024-08-19,0,0,0,1,1.4,168,24500
2024-08-20,1,1,0,0,1.8,173,14178
2024-08-21,2,1,0,0,2.4,161,29254
2024-08-22,3,1,0,0,191.5,162,1970549
2024-08-23,4,1,0,0,439.2,125,6122216
2024-08-24,5,0,1,0,774.2,166,11007690
2024-08-25,6,0,1,0,933.2,149,12862089
2024-08-26,0,1,0,0,360.4,161,4361678
2024-08-27,1,1,0,0,425.7,149,4548107
2024-08-28,2,1,0,0,915.3,179,9790633
2024-08-29,3,1,0,0,808.4,229,7991532
2024-08-30,4,1,0,0,232.6,161,2220102
2024-08-31,5,0,1,0,23.1,210,217224
2024-09-01,6,0,1,0,2.2,182,19394
