FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-11-11,0,0,0,1,8.28,12,145348
2024-11-12,1,1,0,0,34.38,19,657128
2024-11-13,2,1,0,0,33.49,21,542590
2024-11-14,3,1,0,0,12.91,18,247873
2024-11-15,4,1,0,0,21.71,17,395457
2024-11-16,5,0,1,0,111.3,21,2049320
2024-11-17,6,0,1,0,43.63,20,749616
2024-11-18,0,1,0,0,53.06,14,852902
2024-11-19,1,1,0,0,2.96,13,47303
2024-11-20,2,1,0,0,5.97,17,113846
2024-11-21,3,1,0,0,10.97,15,198037
2024-11-22,4,1,0,0,11.78,9,237786
2024-11-23,5,0,1,0,17.32,18,331956
2024-11-24,6,0,1,0,5.65,13,41845
2024-11-25,0,1,0,0,91.5,14,376307
2024-11-26,1,1,0,0,29.1,15,229153
2024-11-27,2,1,0,0,2.6,17,50490
2024-11-28,3,1,0,0,22.18,21,466970
2024-11-29,4,1,0,0,138.31,15,3073830
2024-11-30,5,0,1,0,119.02,18,2712722
2024-12-01,6,0,1,0,10.09,16,243929
2024-12-02,0,1,0,0,58.88,19,1228535
2024-12-03,1,1,0,0,104.15,15,1944479
2024-12-04,2,1,0,0,92.69,25,2140749
2024-12-05,3,1,0,0,47.73,18,1095094
2024-12-06,4,1,0,0,96.22,18,2163314
2024-12-07,5,0,1,0,131.49,19,2697583
2024-12-08,6,0,0,1,115.08,22,3056058
2024-12-09,0,1,0,0,61.76,21,1665698
2024-12-10,1,1,0,0,126.25,20,3823412
2024-12-11,2,1,0,0,63.63,28,1918422
2024-12-12,3,1,0,0,170.7,27,5857561
2024-12-13,4,1,0,0,169.03,24,5734631
2024-12-14,5,0,1,0,227.78,24,6919112
2024-12-15,6,0,1,0,48.69,19,1442511
2024-12-16,0,1,0,0,136.75,25,4547623
2024-12-17,1,1,0,0,163,21,5017841
2024-12-18,2,1,0,0,139,19,4373484
2024-12-19,3,1,0,0,236,22,6700275
2024-12-20,4,1,0,0,97.5,21,2956883
2024-12-21,5,0,1,0,219,21,5699436
2024-12-22,6,0,1,0,106,28,3406659
2024-12-23,0,1,0,0,139,25,3487417
2024-12-24,1,1,0,0,53.2,22,1272314
2024-12-25,2,0,0,1,99.1,20,2798555
2024-12-26,3,1,0,0,32.4,15,886188
2024-12-27,4,1,0,0,46.9,18,1529860
2024-12-28,5,0,1,0,89.6,12,2108714
2024-12-29,6,0,1,0,46.8,15,1511256
2024-12-30,0,1,0,0,77.2,14,1888306
2024-12-31,1,1,0,0,16.1,19,299299
2025-01-01,2,0,0,1,126,15,1849551
2025-01-02,3,1,0,0,117,19,3250931
2025-01-03,4,1,0,0,48,20,1290446
2025-01-04,5,0,1,0,51,16,1363451
2025-01-05,6,0,1,0,94,18,3072665
2025-01-06,0,0,0,1,20,17,752593
2025-01-07,1,1,0,0,51,13,1679155
2025-01-08,2,1,0,0,79,21,2728045
2025-01-09,3,1,0,0,78,20,2732747
2025-01-10,4,1,0,0,46,12,1653694
2025-01-11,5,0,1,0,24,19,811075
2025-01-12,6,0,1,0,53,19,1976827
2025-01-13,0,1,0,0,81,18,2424973
2025-01-14,1,1,0,0,64,15,1950892
2025-01-15,2,1,0,0,63,13,1829340
2025-01-16,3,1,0,0,61,11,1915796
2025-01-17,4,1,0,0,29,14,893351
2025-01-18,5,0,1,0,104,18,3143781
2025-01-19,6,0,1,0,91,19,2943738
2025-01-20,0,1,0,0,103,20,3318134
2025-01-21,1,1,0,0,112,20,4031843
2025-01-22,2,1,0,0,89,21,2973683
2025-01-23,3,1,0,0,22,14,867108
2025-01-24,4,1,0,0,90,22,3007808
2025-01-25,5,0,1,0,55,26,2049169
2025-01-26,6,0,1,0,67,21,2642463
2025-01-27,0,1,0,0,33,16,1248182
2025-01-28,1,1,0,0,36,15,1183556
2025-01-29,2,1,0,0,128,23,4624987
2025-01-30,3,1,0,0,63,16,1707012
2025-01-31,4,1,0,0,201,20,3710987
2025-02-01,5,0,1,0,21,22,598077
2025-02-02,6,0,1,0,21,24,725885
2025-02-03,0,1,0,0,58,18,1495557
2025-02-04,1,1,0,0,96,25,2718157
2025-02-05,2,1,0,0,28,21,668729
2025-02-06,3,1,0,0,35,24,948253
2025-02-07,4,1,0,0,73,21,2154097
2025-02-08,5,0,1,0,115,19,3088473
2025-02-09,6,0,1,0,136,23,4318146
2025-02-10,0,1,0,0,62,19,1625880
2025-02-11,1,1,0,0,19,19,557702
2025-02-12,2,1,0,0,194,17,6414405
2025-02-13,3,1,0,0,108,22,2299870
2025-02-14,4,1,0,0,45,22,1496576
2025-02-15,5,0,1,0,147,21,4070542
2025-02-16,6,0,1,0,192,20,5831213
2025-02-17,0,1,0,0,139,23,3926476
2025-02-18,1,1,0,0,169,14,4757853
2025-02-19,2,1,0,0,213,25,6691843
2025-02-20,3,1,0,0,165,26,5801069
2025-02-21,4,1,0,0,50,15,1443233
2025-02-22,5,0,1,0,97,14,2742500
2025-02-23,6,0,1,0,106,15,3652974
2025-02-24,0,1,0,0,100,15,2421670
2025-02-25,1,1,0,0,77,20,2407192
2025-02-26,2,1,0,0,198,25,5484676
2025-02-27,3,1,0,0,148,28,4238677
2025-02-28,4,1,0,0,179,23,5037329
2025-03-01,5,0,1,0,169,17,4485375
2025-03-02,6,0,1,0,52,21,1778345
2025-03-03,0,1,0,0,248,20,6629135
2025-03-04,1,1,0,0,206,23,4546256
2025-03-05,2,1,0,0,91,24,2579776
2025-03-06,3,1,0,0,16,15,497928
2025-03-07,4,1,0,0,97,20,2704591
2025-03-08,5,0,1,0,156,19,5367159
