Zona,Rows
001_ZW Parque Ingenio,356
002_ZW Canchas Panamericanas,327
003_ZW Parque del Perro,341
004_ZW Parque San Nicolas,334
005_ZW Parque Barrio Obrero,382
007_ZW Parque Pizamos,124
008_ZW Parque Alfonso Lopez,341
010_ZW Parque Antonio Nariño,331
011_ZW Parque Santa Rosa Poblado,380
012_ZW Polideportivo Los Naranjos,402
013_ZW Parque Llano Verde,366
015_ZW Centro Cultural Comuna 13,340
016_ZW Conjunto Habitacional Ramali,341
019_ZW Parque Skate Board,335
021_ZW Parque Alfonso Barberena,341
022_ZW Polideportivo Los Farallones,341
023_ZW Parque Los Guerreros,352
024_ZW Museo La Tertulia,417
025_ZW Parque San Marino,376
026_ZW Parque La Flora,341
027_ZW Parque Alfonso Bonilla Aragón,342
028_ZW Parque Yo Amo a Siloé,341
029_ZW Centro Cultural Vista Hermosa,511
030_ZW Parque Mutis,341
031_ZW Cancha Los Azules,305
032_ZW Parque La Orqueta,385
034_ZW Parque Villa Colombia,458
035_ZW Parque Colseguros,341
036_ZW Parque India Elena,326
037_ZW Parque Tequendama,378
038_ZW Parque Sector Amarillo Skate Park,329
039_ZW Biblioteca Daniel Guillard,354
040_ZW Polideportivo Torres Comfandi,298
041_ZW Parque Junin,205
042_ZW Parque Mariano Ramos,365
043_ZW Polideportivo Ricardo Balcazar,264
044_ZW Polideportivo San Benito,341
045_ZW Parque Santa Anita,488
046_ZW Sebastian Belalcazar,539
047_ZW Parque del Mico,324
048_ZW Parque Cien Palos,197
049_ZW Cerro 3 Cruces,315
050_ZW Parque Calima,335
051_ZW Parque La Merced,462
052_ZW Puente de Colores,394
053_ZW Polideportivo Laureano Gomez,364
054_ZW El Diamante,385
055_ZW Polideportivo Petecuy,273
056_ZW Comuna 16,282
057_La Castilla,285
058_La Elvira,241
059_El Saladito,264
