Zona,Modelo,MAPE_Base,MAPE_Optimizado,MAPE(%)_Base,MAPE(%)_Optimizado,MAE_Base,MAE_Optimizado,RMSE_Base,RMSE_Optimizado,R2_Base,R2_Optimizado
001_ZW Parque Ingenio.csv,SVR,0.334,0.354,33.447,35.372,1078031.661,1212908.214,1670629.85,1810270.397,0.426,0.326
002_ZW Canchas Panamericanas.csv,SVR,0.401,0.267,40.134,26.677,792958.839,594268.449,1150524.252,819178.203,0.318,0.654
003_ZW Parque del Perro.csv,SVR,0.306,0.275,30.647,27.505,1053117.128,880912.353,1555317.826,1183474.981,0.36,0.629
004_ZW Parque San Nicolas.csv,SVR,0.28,0.262,28.012,26.16,4164597.835,3409988.877,5807695.619,4383302.506,-0.185,0.325
005_ZW Parque Barrio Obrero.csv,SVR,0.287,0.206,28.725,20.6,7178427.651,4777467.527,8947742.389,5848322.426,-0.041,0.555
007_ZW Parque Pizamos.csv,SVR,0.458,0.223,45.839,22.29,1572501.809,912416.314,2157869.43,1254878.113,0.246,0.745
008_ZW Parque Alfonso Lopez.csv,SVR,0.299,0.26,29.934,25.973,3047779.638,2471210.703,3955758.163,3027176.762,0.41,0.655
010_ZW Parque Antonio Nariño.csv,SVR,0.215,0.182,21.461,18.245,1312741.944,1019245.81,1756855.359,1273795.585,0.461,0.716
011_ZW Parque Santa Rosa Poblado.csv,SVR,2.589,6.34,258.944,633.99,14743922.361,11450847.668,21582367.082,17760614.046,-0.863,-0.262
012_ZW Polideportivo Los Naranjos.csv,SVR,1.048,0.95,104.772,94.994,2744256.895,2635657.763,4046963.614,3943596.059,-0.157,-0.099
013_ZW Parque Llano Verde.csv,SVR,0.371,0.371,37.098,37.053,1470739.959,1359994.767,1744797.219,1566591.061,-0.546,-0.246
015_ZW Centro Cultural Comuna 13.csv,SVR,1.434,1.075,143.405,107.502,2818422.684,1919397.175,3955006.302,2638010.887,0.618,0.83
016_ZW Conjunto Habitacional Ramali.csv,SVR,0.477,0.358,47.684,35.846,6285107.366,5265971.54,9886917.499,8315372.344,0.211,0.442
019_ZW Parque Skate Board.csv,SVR,0.207,0.156,20.695,15.566,1747547.009,1262357.883,2400351.636,1684059.053,0.382,0.696
021_ZW Parque Alfonso Barberena.csv,SVR,0.259,0.16,25.863,15.972,2169617.051,1334484.755,2806239.316,1841898.261,0.105,0.615
022_ZW Polideportivo Los Farallones.csv,SVR,2.868,2.722,286.801,272.197,1404156.469,1436111.003,2233080.001,2285027.396,0.284,0.25
023_ZW Parque Los Guerreros.csv,SVR,0.486,0.226,48.61,22.565,2342812.55,775102.213,3133103.901,1038514.066,-0.785,0.804
024_ZW Museo La Tertulia.csv,SVR,7.229,5.859,722.854,585.889,562367.275,451768.239,724367.217,570461.958,0.524,0.705
025_ZW Parque San Marino.csv,SVR,5.799,1.299,579.886,129.948,5582349.161,4373125.162,8345127.04,6608249.332,-0.225,0.232
026_ZW Parque La Flora.csv,SVR,0.323,0.237,32.285,23.749,2102348.814,1452733.268,2751191.727,1940843.123,0.216,0.61
027_ZW Parque Alfonso Bonilla Aragón.csv,SVR,0.375,0.377,37.48,37.654,1252067.69,856367.894,1789628.345,1213863.826,0.588,0.81
028_ZW Parque Yo Amo a Siloé.csv,SVR,0.244,0.135,24.399,13.549,6622281.674,3542465.531,7965328.342,4817025.925,-0.731,0.367
029_ZW Centro Cultural Vista Hermosa.csv,SVR,0.707,0.632,70.701,63.217,2991384.924,2252262.929,4095655.243,2905562.161,-0.763,0.113
030_ZW Parque Mutis.csv,SVR,0.216,0.373,21.632,37.335,1350573.148,1974579.13,2104637.929,2315092.503,0.645,0.57
031_ZW Cancha Los Azules.csv,SVR,0.266,0.236,26.635,23.602,4170357.304,3605915.933,5688012.165,4504933.962,0.184,0.488
032_ZW Parque La Orqueta.csv,SVR,6.317,2.123,631.749,212.3,11740065.291,5760371.794,13797615.701,7054918.294,-2.24,0.153
034_ZW Parque Villa Colombia.csv,SVR,0.588,0.469,58.798,46.886,2764053.027,1960139.259,3759242.229,2735555.191,-0.388,0.265
035_ZW Parque Colseguros.csv,SVR,0.239,0.328,23.852,32.795,1842968.875,2423297.399,2377621.839,2963453.325,0.022,-0.519
036_ZW Parque India Elena.csv,SVR,0.27,0.236,26.954,23.554,2626546.309,2048019.147,3370473.973,2399113.413,0.25,0.62
037_ZW Parque Tequendama.csv,SVR,0.283,0.332,28.323,33.234,2559346.697,2695703.74,3215315.96,3237412.01,0.056,0.043
038_ZW Parque Sector Amarillo Skate Park.csv,SVR,0.711,0.38,71.114,38.045,1444884.306,927099.529,1743530.496,1245609.773,0.284,0.635
039_ZW Biblioteca Daniel Guillard.csv,SVR,0.343,0.195,34.339,19.458,3544196.266,2035956.48,4668956.052,2869510.114,-0.17,0.558
040_ZW Polideportivo Torres Comfandi.csv,SVR,0.529,0.845,52.866,84.457,3811598.567,5057202.09,5350874.569,6335108.778,-0.551,-1.174
041_ZW Parque Junin.csv,SVR,0.283,0.265,28.338,26.535,3056053.83,2647574.969,3775732.305,3448965.759,-0.161,0.031
042_ZW Parque Mariano Ramos.csv,SVR,0.258,0.194,25.799,19.435,1709257.941,1223236.899,2241406.915,1602669.189,-0.453,0.257
043_ZW Polideportivo Ricardo Balcazar.csv,SVR,0.222,0.185,22.233,18.529,2513865.157,1939287.042,3406837.801,2553421.129,0.12,0.506
044_ZW Polideportivo San Benito.csv,SVR,0.481,0.362,48.107,36.194,3811805.789,2695400.085,6318237.27,3787322.265,0.277,0.74
045_ZW Parque Santa Anita.csv,SVR,0.454,0.228,45.39,22.799,2041752.805,850898.052,2561684.812,1163980.69,-1.409,0.503
046_ZW Sebastian Belalcazar.csv,SVR,1.254,0.821,125.38,82.141,3392592.188,2909568.134,4304977.739,3497150.593,-1.535,-0.673
047_ZW Parque del Mico.csv,SVR,0.309,0.203,30.918,20.302,1392045.415,1024579.447,1824569.634,1341288.79,0.484,0.721
048_ZW Parque Cien Palos.csv,SVR,0.244,0.181,24.378,18.091,2894202.277,2140227.605,3838165.228,2682468.011,-0.014,0.505
049_ZW Cerro 3 Cruces.csv,SVR,0.617,0.302,61.681,30.172,1505894.503,1243160.788,2159658.993,1737407.877,0.738,0.83
050_ZW Parque Calima.csv,SVR,0.283,0.245,28.266,24.48,1339537.065,1034276.776,2128008.289,1455345.453,0.556,0.792
051_ZW Parque La Merced.csv,SVR,0.78,0.767,77.997,76.749,1030450.773,1036600.201,1498509.952,1511332.699,-0.047,-0.065
052_ZW Puente de Colores.csv,SVR,0.527,0.504,52.727,50.45,1987869.074,1346356.123,2790387.944,1891771.311,-0.175,0.46
053_ZW Polideportivo Laureano Gomez.csv,SVR,0.475,0.345,47.494,34.535,4994240.367,3165231.659,7282773.75,4911579.774,-0.102,0.499
054_ZW El Diamante.csv,SVR,0.555,0.577,55.539,57.717,951110.876,645521.963,1385624.3,862768.246,0.342,0.745
055_ZW Polideportivo Petecuy.csv,SVR,0.235,0.298,23.477,29.782,954568.088,1216185.272,1387683.923,1498669.519,0.233,0.106
056_ZW Comuna 16.csv,SVR,0.732,0.624,73.171,62.445,298684.85,184822.043,492738.261,300142.851,0.448,0.795
057_La Castilla.csv,SVR,1.881,5.212,188.148,521.201,825543.38,1482521.103,1425363.556,1803214.887,0.172,-0.325
058_La Elvira.csv,SVR,1.321,1.32,132.119,131.977,2501040.642,2311158.93,3663751.806,3376654.764,0.369,0.464
059_El Saladito.csv,SVR,0.602,0.663,60.237,66.31,2538781.692,2304829.602,3459820.849,3137605.905,-0.403,-0.154
